Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ÇANAKKALE,20112,SOZ
İZMİR DEMOKRASİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),İZMİR,20259,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),SAMSUN,20283,SOZ
MERSİN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),MERSİN,20392,SOZ
İSTANBUL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (Arapça) (4 Yıllık),İSTANBUL,20436,SOZ
KOCAELİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KOCAELİ,20547,SOZ
PAMUKKALE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),DENİZLİ,20725,SOZ
GAZİANTEP ÜNİVERSİTESİ Gaziantep Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),GAZİANTEP,21228,SOZ
ERCİYES ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KAYSERİ,21342,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),AYDIN,21378,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),AYDIN,21428,SOZ
ANKARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İngilizce) (4 Yıllık),ANKARA,21531,SOZ
