Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),NİĞDE,82590,SOZ
SİVAS CUMHURİYET ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),SİVAS,82945,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Tarih Öğretmenliği (4 Yıllık),VAN,83343,SOZ
SELÇUK ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),KONYA,83548,SOZ
AFYON KOCATEPE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),AFYONKARAHİSAR,85353,SOZ
SAKARYA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),SAKARYA,86650,SOZ
TRAKYA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),EDİRNE,86769,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (M.T.O.K) (M.T.O.K.) (4 Yıllık),ANKARA,86999,SOZ
ADIYAMAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ADIYAMAN,87235,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),KONYA,87974,SOZ
AKDENİZ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",ANTALYA,88042,SOZ
MARMARA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),İSTANBUL,88081,SOZ
İSTANBUL MEDENİYET ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),İSTANBUL,88119,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),İZMİR,88611,SOZ
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),ESKİŞEHİR,89389,SOZ
AMASYA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),AMASYA,90860,SOZ
İSTANBUL MEDENİYET ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),İSTANBUL,90954,SOZ
İSTANBUL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),İSTANBUL,90970,SOZ
AKSARAY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),AKSARAY,91874,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),ANKARA,91880,SOZ
ANADOLU ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ESKİŞEHİR,92725,SOZ
BALIKESİR ÜNİVERSİTESİ Burhaniye Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),BALIKESİR,92977,SOZ
KİLİS 7 ARALIK ÜNİVERSİTESİ Muallim Rıfat Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),KİLİS,93314,SOZ
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),İSTANBUL,93669,SOZ
UŞAK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),UŞAK,93901,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),NEVŞEHİR,94019,SOZ
YILDIZ TEKNİK ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Sanat ve Kültür Yönetimi (4 Yıllık),İSTANBUL,94818,SOZ
AFYON KOCATEPE ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),AFYONKARAHİSAR,95376,SOZ
İSKENDERUN TEKNİK ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),HATAY,95802,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,"Kurgu, Ses ve Görüntü Yönetimi (KKTC Uyruklu) (4 Yıllık)",İZMİR,96123,SOZ
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),KIRŞEHİR,96794,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),BURDUR,97676,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",ANKARA,98202,SOZ
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Gürcü Dili ve Edebiyatı (4 Yıllık),RİZE,98283,SOZ
GAZİANTEP ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),GAZİANTEP,98484,SOZ
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ Tavşanlı Uygulamalı Bilimler Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),KÜTAHYA,99194,SOZ
KOCAELİ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),KOCAELİ,99313,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),BURSA,101446,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Film Tasarımı ve Yazarlığı (4 Yıllık),İZMİR,102046,SOZ
SİİRT ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),SİİRT,102142,SOZ
YOZGAT BOZOK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),YOZGAT,102149,SOZ
GİRESUN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),GİRESUN,102726,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu İlahiyat Fakültesi Akademik Kadro,İlahiyat (Arapça) (4 Yıllık),KONYA,103278,SOZ
EGE ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),İZMİR,103738,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ANKARA,104146,SOZ
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ Turizm İşletmeciliği ve Otelcilik Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),HATAY,105770,SOZ
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),TOKAT,105863,SOZ
SELÇUK ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),KONYA,106161,SOZ
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ Ereğli Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ZONGULDAK,106521,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ANKARA,107275,SOZ
AKDENİZ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ANTALYA,108032,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),İZMİR,108304,SOZ
ATATÜRK ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),ERZURUM,108447,SOZ
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ERZİNCAN,110021,SOZ
EGE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),İZMİR,110458,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),İZMİR,110625,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),BURSA,111252,SOZ
BARTIN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),BARTIN,111555,SOZ
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ Eğitim Fakültesi (Çayeli) Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),RİZE,112651,SOZ
KARABÜK ÜNİVERSİTESİ Safranbolu Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),KARABÜK,112725,SOZ
KASTAMONU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),KASTAMONU,113556,SOZ
MUŞ ALPARSLAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),MUŞ,114002,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),SAMSUN,114381,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),VAN,114832,SOZ
SİNOP ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),SİNOP,115582,SOZ
ANADOLU ÜNİVERSİTESİ İletişim Bilimleri Fakültesi Akademik Kadro,İletişim Tasarımı ve Yönetimi (4 Yıllık),ESKİŞEHİR,116027,SOZ
ANADOLU ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ESKİŞEHİR,116349,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Turizm İşletmeciliği ve Otelcilik Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),BURDUR,117060,SOZ
ARTVİN ÇORUH ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ARTVİN,118163,SOZ
AKDENİZ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),ANTALYA,119240,SOZ
KIRKLARELİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),KIRKLARELİ,119685,SOZ
AKDENİZ ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Sinema ve Televizyon (4 Yıllık),ANTALYA,120168,SOZ
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ANKARA,121056,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,"Kurgu, Ses ve Görüntü Yönetimi (4 Yıllık)",İZMİR,121614,SOZ
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ESKİŞEHİR,122156,SOZ
DÜZCE ÜNİVERSİTESİ Akçakoca Turizm İşletmeciliği ve Otelcilik Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),DÜZCE,122512,SOZ
BAYBURT ÜNİVERSİTESİ Bayburt Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),BAYBURT,123163,SOZ
KAFKAS ÜNİVERSİTESİ Dede Korkut Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),KARS,123545,SOZ
MARDİN ARTUKLU ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),MARDİN,123913,SOZ
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),AĞRI,124589,SOZ
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ Mimarlık ve Güzel Sanatlar Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),ANKARA,124652,SOZ
AKDENİZ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ANTALYA,125483,SOZ
"SAKARYA ÜNİVERSİTESİ Sanat, Tasarım ve Mimarlık Fakültesi Akademik Kadro",Görsel İletişim Tasarımı (4 Yıllık),SAKARYA,125849,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),ANKARA,126270,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),ANKARA,128792,SOZ
SELÇUK ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (İÖ) (4 Yıllık),KONYA,130048,SOZ
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ESKİŞEHİR,130872,SOZ
HACETTEPE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),ANKARA,130938,SOZ
İNÖNÜ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),MALATYA,133693,SOZ
İSTANBUL MEDENİYET ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),İSTANBUL,134380,SOZ
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),HATAY,135779,SOZ
ÇUKUROVA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ADANA,135861,SOZ
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),ANKARA,136130,SOZ
EGE ÜNİVERSİTESİ Birgivi İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),İZMİR,136723,SOZ
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ Ardeşen Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),RİZE,136947,SOZ
ERCİYES ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),KAYSERİ,137043,SOZ
"MUNZUR ÜNİVERSİTESİ Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi Akademik Kadro",Müzik (4 Yıllık),TUNCELİ,137160,SOZ
ÇUKUROVA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ADANA,137729,SOZ
KOCAELİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),KOCAELİ,141738,SOZ
AKDENİZ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),ANTALYA,141756,SOZ
KOCAELİ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),KOCAELİ,142322,SOZ
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Çağdaş Türk Lehçeleri ve Edebiyatları (4 Yıllık),İSTANBUL,142781,SOZ
KASTAMONU ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),KASTAMONU,143209,SOZ
PAMUKKALE ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),DENİZLİ,143283,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (İÖ) (4 Yıllık),NEVŞEHİR,144510,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),ANKARA,145066,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),VAN,146274,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),BURSA,148031,SOZ
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ANKARA,148080,SOZ
AKDENİZ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Reklamcılık (4 Yıllık),ANTALYA,149684,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),BURSA,150346,SOZ
SİVAS CUMHURİYET ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),SİVAS,153803,SOZ
ATATÜRK ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ERZURUM,154639,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Fotoğraf (4 Yıllık),İZMİR,154766,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",ÇANAKKALE,155282,SOZ
"KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ Mühendislik, Mimarlık ve Tasarım Fakültesi Akademik Kadro",Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),KAHRAMANMARAŞ,158058,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),BURSA,158135,SOZ
ORDU ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),ORDU,158610,SOZ
KOCAELİ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",KOCAELİ,158783,SOZ
SİNOP ÜNİVERSİTESİ Turizm İşletmeciliği ve Otelcilik Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),SİNOP,160195,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (Arapça) (M.T.O.K.) (4 Yıllık),KONYA,162191,SOZ
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),KAHRAMANMARAŞ,162693,SOZ
ANADOLU ÜNİVERSİTESİ İletişim Bilimleri Fakültesi Akademik Kadro,Basın ve Yayın (4 Yıllık),ESKİŞEHİR,162903,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Fen ve Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ÇANAKKALE,166875,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),SAMSUN,167202,SOZ
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ KKTC Akademik Birim (Lefkoşa) Akademik Kadro,Özel Eğitim Öğretmenliği (%50 İndirimli) (4 Yıllık),ANKARA,168032,SOZ
GİRESUN ÜNİVERSİTESİ Turizm Fakültesi (Keşap) Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),GİRESUN,168696,SOZ
BALIKESİR ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),BALIKESİR,169645,SOZ
AFYON KOCATEPE ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (İÖ) (4 Yıllık),AFYONKARAHİSAR,170321,SOZ
KOCAELİ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),KOCAELİ,170408,SOZ
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Medya ve İletişim (4 Yıllık),İZMİR,172711,SOZ
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),İZMİR,179801,SOZ
AKDENİZ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ANTALYA,179891,SOZ
HARRAN ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ŞANLIURFA,180458,SOZ
AKDENİZ ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),ANTALYA,180480,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (İÖ) (4 Yıllık),KONYA,180560,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),BOLU,182741,SOZ
GAZİANTEP ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),GAZİANTEP,182760,SOZ
OSMANİYE KORKUT ATA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),OSMANİYE,183520,SOZ
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),KARAMAN,183839,SOZ
MARDİN ARTUKLU ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (İÖ) (4 Yıllık),MARDİN,184395,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),SAMSUN,184580,SOZ
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Tarih (4 Yıllık),ANKARA,184720,SOZ
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),ANKARA,185421,SOZ
OSMANİYE KORKUT ATA ÜNİVERSİTESİ Kadirli Uygulamalı Bilimler Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),OSMANİYE,186664,SOZ
MERSİN ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),MERSİN,187947,SOZ
EGE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),İZMİR,188429,SOZ
AKDENİZ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İÖ) (4 Yıllık),ANTALYA,189863,SOZ
DİCLE ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),DİYARBAKIR,189902,SOZ
MERSİN ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),MERSİN,190800,SOZ
SAKARYA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Reklamcılık (Fakülte) (4 Yıllık),SAKARYA,191180,SOZ
HACETTEPE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Çağdaş Türk Lehçeleri ve Edebiyatları (4 Yıllık),ANKARA,192653,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),MUĞLA,193962,SOZ
ORDU ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ORDU,194676,SOZ
GÜMÜŞHANE ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),GÜMÜŞHANE,194970,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),AYDIN,197235,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",AYDIN,198125,SOZ
ÇUKUROVA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",ADANA,199074,SOZ
SAKARYA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),SAKARYA,199599,SOZ
